Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,11-9151,Social and Community Service Managers,12580,92760,81350,62360,107970
1,36,New York State,11-9161,Emergency Management Directors,590,99240,83460,63400,117170
1,36,New York State,11-9171,Funeral Home Managers,870,97420,97230,50410,120920
1,36,New York State,11-9179,"Personal Service Managers, All Other",260,84220,70850,51200,100720
1,36,New York State,11-9199,"Managers, All Other",12380,157840,135950,84090,194710
1,36,New York State,13-0000,Business and Financial Operations Occupations,658470,104080,89780,56770,127740
1,36,New York State,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",2030,124890,81940,59990,157340
1,36,New York State,13-1020,Buyers and Purchasing Agents,27300,79350,75340,48070,94990
1,36,New York State,13-1031,"Claims Adjusters, Examiners, and Investigators",15630,82310,80070,54890,96020
1,36,New York State,13-1032,"Insurance Appraisers, Auto Damage",320,87500,84130,62470,100020
1,36,New York State,13-1041,Compliance Officers,20420,88140,82000,54040,105200
1,36,New York State,13-1051,Cost Estimators,9360,87740,79770,50450,106390
1,36,New York State,13-1071,Human Resources Specialists,46760,87400,79770,50840,105690
1,36,New York State,13-1075,Labor Relations Specialists,6910,97790,82860,54920,119230
1,36,New York State,13-1081,Logisticians,4180,87450,81940,55860,103250
1,36,New York State,13-1082,Project Management Specialists,55910,115020,105130,68410,138330
1,36,New York State,13-1111,Management Analysts,52850,118170,104430,70200,142150
1,36,New York State,13-1121,"Meeting, Convention, and Event Planners",8000,82580,77620,45700,101020
1,36,New York State,13-1131,Fundraisers,8660,80870,79090,50800,95910
1,36,New York State,13-1141,"Compensation, Benefits, and Job Analysis Specialists",8460,87610,82730,56820,103010
1,36,New York State,13-1151,Training and Development Specialists,22860,79270,65560,38630,99590
1,36,New York State,13-1161,Market Research Analysts and Marketing Specialists,75260,91330,81460,52530,110730
1,36,New York State,13-1199,"Business Operations Specialists, All Other",34240,86260,79270,50170,104300
1,36,New York State,13-2011,Accountants and Auditors,111900,108020,100550,62660,130700
1,36,New York State,13-2020,Appraisers and Assessors of Real Estate,2990,82780,76960,46870,100740
1,36,New York State,13-2031,Budget Analysts,3260,96430,84140,65000,112140
1,36,New York State,13-2041,Credit Analysts,6730,133520,125380,73800,163380
1,36,New York State,13-2051,Financial Analysts,49560,135990,111530,77490,165240
1,36,New York State,13-2052,Personal Financial Advisors,20830,161910,134810,72690,206530
1,36,New York State,13-2053,Insurance Underwriters,7860,109250,99990,62750,132500
1,36,New York State,13-2054,Financial Risk Specialists,10700,149550,134530,89970,179330
1,36,New York State,13-2061,Financial Examiners,13510,120370,104380,66010,147560
1,36,New York State,13-2071,Credit Counselors,1470,65700,62010,44720,76180
1,36,New York State,13-2072,Loan Officers,14720,108030,98350,53580,135260
1,36,New York State,13-2081,"Tax Examiners and Collectors, and Revenue Agents",3750,75660,65570,51180,87900
1,36,New York State,13-2082,Tax Preparers,7380,55520,48040,28570,68990
1,36,New York State,13-2099,"Financial Specialists, All Other",4630,109330,84610,55940,136030
1,36,New York State,15-0000,Computer and Mathematical Occupations,264730,112250,104050,62070,137350
1,36,New York State,15-1211,Computer Systems Analysts,25330,115490,105960,72150,137160
1,36,New York State,15-1212,Information Security Analysts,7550,138740,133390,82240,166990
1,36,New York State,15-1221,Computer and Information Research Scientists,820,137120,132790,80990,165190
1,36,New York State,15-1231,Computer Network Support Specialists,11200,84990,79410,52660,101160
1,36,New York State,15-1232,Computer User Support Specialists,38010,67470,62740,42430,79990
1,36,New York State,15-1241,Computer Network Architects,11440,131940,131790,83810,156000
1,36,New York State,15-1242,Database Administrators,4970,110530,104530,63200,134190
1,36,New York State,15-1243,Database Architects,3990,138340,134740,84580,165230
1,36,New York State,15-1244,Network and Computer Systems Administrators,23250,106060,102110,68400,124890
1,36,New York State,15-1251,Computer Programmers,11570,94910,83420,54350,115200
1,36,New York State,15-1252,Software Developers,77680,134410,132500,82880,160180
1,36,New York State,15-1253,Software Quality Assurance Analysts and Testers,9420,122130,108230,74660,145860
1,36,New York State,15-1254,Web Developers,7140,82770,71890,43670,102330
1,36,New York State,15-1255,Web and Digital Interface Designers,7200,107490,102110,62650,129910
1,36,New York State,15-1299,"Computer Occupations, All Other",6030,99240,92750,54820,121450
1,36,New York State,15-2011,Actuaries,2420,153590,136200,82580,189100
1,36,New York State,15-2021,Mathematicians,,130060,108730,67950,161120
1,36,New York State,15-2031,Operations Research Analysts,5240,106180,101600,63000,127770
1,36,New York State,15-2041,Statisticians,1320,127900,106650,69280,157210
1,36,New York State,15-2051,Data Scientists,9960,127290,129080,69090,156380
1,36,New York State,15-2099,"Mathematical Science Occupations, All Other",,89990,62550,53690,108140
1,36,New York State,17-0000,Architecture and Engineering Occupations,100750,94240,82160,56130,113290
1,36,New York State,17-1011,"Architects, Except Landscape and Naval",11150,106230,101400,64560,127070
1,36,New York State,17-1012,Landscape Architects,1120,87950,80250,56780,103530
1,36,New York State,17-1021,Cartographers and Photogrammetrists,410,68050,62550,51470,76350
1,36,New York State,17-1022,Surveyors,1400,85550,79750,51890,102370
1,36,New York State,17-2011,Aerospace Engineers,380,109260,105810,76400,125690
1,36,New York State,17-2031,Biomedical Engineers,570,110150,105280,68600,130920
1,36,New York State,17-2041,Chemical Engineers,1000,110940,103080,63150,134830
1,36,New York State,17-2051,Civil Engineers,15000,103490,101190,65230,122620
1,36,New York State,17-2061,Computer Hardware Engineers,1250,124870,122140,79500,147560
1,36,New York State,17-2072,"Electronics Engineers, Except Computer",2460,106460,102910,71140,124120
1,36,New York State,17-2081,Environmental Engineers,2710,100710,94400,66270,117930
1,36,New York State,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1530,109930,105600,74970,127410
1,36,New York State,17-2112,Industrial Engineers,11510,99220,99440,69300,114180
1,36,New York State,17-2131,Materials Engineers,610,114650,105600,76240,133860
1,36,New York State,17-2141,Mechanical Engineers,8140,101030,100680,67180,117950
1,36,New York State,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,93400,81120,74900,102650
1,36,New York State,17-2161,Nuclear Engineers,300,117160,110860,77610,136940
1,36,New York State,17-2199,"Engineers, All Other",4710,112410,103560,67750,134740
1,36,New York State,17-3011,Architectural and Civil Drafters,7330,66410,63290,44650,77290
1,36,New York State,17-3012,Electrical and Electronics Drafters,1320,79910,78710,49230,95250
1,36,New York State,17-3013,Mechanical Drafters,2070,71350,64020,48220,82920
1,36,New York State,17-3019,"Drafters, All Other",760,67130,61700,45690,77840
1,36,New York State,17-3021,Aerospace Engineering and Operations Technicians,,64890,64160,49910,72380
1,36,New York State,17-3022,Civil Engineering Technicians,2140,61530,62950,40230,72190
1,36,New York State,17-3023,Electrical and Electronic Engineering Technicians,4430,70490,63950,45190,83140
1,36,New York State,17-3024,Electro-Mechanical Technicians,370,67640,62550,49240,76840
1,36,New York State,17-3025,Environmental Engineering Technicians,400,59800,62050,43050,68170
1,36,New York State,17-3026,Industrial Engineering Technicians,2860,63550,62260,41670,74490
1,36,New York State,17-3027,Mechanical Engineering Technicians,1330,66110,62490,48370,74980
1,36,New York State,17-3028,Calibration Technologists and Technicians,,66670,62750,40090,79950
1,36,New York State,17-3029,"Engineering Technicians, Except Drafters, All Other",2080,60980,61410,43390,69770
1,36,New York State,17-3031,Surveying and Mapping Technicians,1850,62200,50280,40910,72840
1,36,New York State,19-0000,"Life, Physical, and Social Science Occupations",64790,90180,80950,50410,110070
1,36,New York State,19-1012,Food Scientists and Technologists,670,94850,94470,60610,111970
1,36,New York State,19-1013,Soil and Plant Scientists,,84550,77880,61330,96160
1,36,New York State,19-1021,Biochemists and Biophysicists,1310,96960,85500,59560,115660
1,36,New York State,19-1022,Microbiologists,830,84980,80240,52500,101220
1,36,New York State,19-1023,Zoologists and Wildlife Biologists,460,79640,68330,62030,88450
1,36,New York State,19-1029,"Biological Scientists, All Other",1710,110660,103200,76720,127630
1,36,New York State,19-1031,Conservation Scientists,330,82220,73670,48940,98850
1,36,New York State,19-1032,Foresters,,77630,73670,58620,87140
1,36,New York State,19-1041,Epidemiologists,,129520,88410,66120,161220
1,36,New York State,19-1042,"Medical Scientists, Except Epidemiologists",6850,106760,83110,59910,130190
1,36,New York State,19-1099,"Life Scientists, All Other",280,96740,82430,61240,114500
1,36,New York State,19-2012,Physicists,1010,170630,173880,98830,206540
1,36,New York State,19-2021,Atmospheric and Space Scientists,380,102820,95850,51150,128660
1,36,New York State,19-2031,Chemists,3490,93220,82100,59930,109870
1,36,New York State,19-2032,Materials Scientists,660,122720,124100,77640,145270
1,36,New York State,19-2041,"Environmental Scientists and Specialists, Including Health",3910,92040,83560,56750,109680
1,36,New York State,19-2042,"Geoscientists, Except Hydrologists and Geographers",650,83430,81430,57310,96500
1,36,New York State,19-2043,Hydrologists,,90310,84870,57860,106530
1,36,New York State,19-2099,"Physical Scientists, All Other",1200,117130,108450,78580,136410
1,36,New York State,19-3011,Economists,750,155260,130750,79460,193160
1,36,New York State,19-3022,Survey Researchers,390,88650,84530,64230,100860
1,36,New York State,19-3033,Clinical and Counseling Psychologists,3900,126290,108450,67460,155710
1,36,New York State,19-3034,School Psychologists,6110,101190,101990,67370,118110
1,36,New York State,19-3039,"Psychologists, All Other",440,110230,117660,64280,133210
1,36,New York State,19-3051,Urban and Regional Planners,1410,91570,84570,65220,104740
1,36,New York State,19-3091,Anthropologists and Archeologists,,73750,67110,40230,90500
1,36,New York State,19-3092,Geographers,,110450,102030,85280,123030
1,36,New York State,19-3093,Historians,370,54330,39800,30190,66400
1,36,New York State,19-3094,Political Scientists,,116360,105670,81670,133700
1,36,New York State,19-3099,"Social Scientists and Related Workers, All Other",2330,100950,95200,69840,116510
1,36,New York State,19-4012,Agricultural Technicians,320,44640,39740,32970,50480
1,36,New York State,19-4013,Food Science Technicians,350,47490,47820,37320,52570
1,36,New York State,19-4021,Biological Technicians,3980,55630,51570,37880,64500
1,36,New York State,19-4031,Chemical Technicians,2200,61350,60050,40500,71770
1,36,New York State,19-4042,"Environmental Science and Protection Technicians, Including Health",1870,57560,50660,38340,67170
1,36,New York State,19-4043,"Geological Technicians, Except Hydrologic Technicians",,65760,63500,41960,77650
1,36,New York State,19-4044,Hydrologic Technicians,,63460,61130,45350,72510
1,36,New York State,19-4051,Nuclear Technicians,,111000,121000,78330,127330
1,36,New York State,19-4061,Social Science Research Assistants,2860,58460,50180,33640,70880
1,36,New York State,19-4071,Forest and Conservation Technicians,,56900,51730,43260,63720
1,36,New York State,19-4092,Forensic Science Technicians,760,84070,82810,60390,95910
1,36,New York State,19-4099,"Life, Physical, and Social Science Technicians, All Other",6000,62090,61930,41120,72570
1,36,New York State,19-5011,Occupational Health and Safety Specialists,4210,87870,82120,56480,103560
1,36,New York State,19-5012,Occupational Health and Safety Technicians,840,63460,64270,40660,74860
1,36,New York State,21-0000,Community and Social Service Occupations,182400,62010,58880,38280,73880
1,36,New York State,21-1012,"Educational, Guidance, School, and Vocational Counselors",23710,72400,63830,43360,86910
1,36,New York State,21-1013,Marriage and Family Therapists,1220,63030,57880,32680,78200
1,36,New York State,21-1015,Rehabilitation Counselors,4290,44290,39760,29810,51530
1,36,New York State,21-1018,"Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)",20350,58400,51580,39500,67850
1,36,New York State,21-1019,"Counselors, All Other",,68110,63630,46330,79000
1,36,New York State,21-1021,"Child, Family, and School Social Workers",24300,71150,64570,48880,82280
1,36,New York State,21-1022,Healthcare Social Workers,22090,64160,60570,42920,74780
1,36,New York State,21-1023,Mental Health and Substance Abuse Social Workers,11840,77410,76700,48500,91860
1,36,New York State,21-1029,"Social Workers, All Other",2260,76590,79350,56320,86730
1,36,New York State,21-1091,Health Educators,2880,64580,63030,43610,75060
1,36,New York State,21-1092,Probation Officers and Correctional Treatment Specialists,5710,79860,79350,58820,90370
1,36,New York State,21-1093,Social and Human Service Assistants,34440,44060,39760,32160,50010
1,36,New York State,21-1094,Community Health Workers,7800,52790,48970,36140,61120
1,36,New York State,21-1099,"Community and Social Service Specialists, All Other",7820,64350,62410,47320,72860
1,36,New York State,21-2011,Clergy,7380,64410,50720,34540,79340
1,36,New York State,21-2021,"Directors, Religious Activities and Education",4320,58150,50530,34700,69860
1,36,New York State,21-2099,"Religious Workers, All Other",,49450,38310,29040,59660
1,36,New York State,23-0000,Legal Occupations,121410,149930,130210,60950,194420
1,36,New York State,23-1011,Lawyers,81180,186160,170280,95340,231570
1,36,New York State,23-1012,Judicial Law Clerks,1270,98120,85370,39940,127210
1,36,New York State,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1260,116000,106600,82900,132550
1,36,New York State,23-1022,"Arbitrators, Mediators, and Conciliators",600,72070,62030,38580,88810
1,36,New York State,23-1023,"Judges, Magistrate Judges, and Magistrates",3410,170610,177330,99700,206070
1,36,New York State,23-2011,Paralegals and Legal Assistants,31030,65140,61990,43100,76160
1,36,New York State,23-2093,"Title Examiners, Abstractors, and Searchers",1480,57630,50690,38070,67420
1,36,New York State,23-2099,"Legal Support Workers, All Other",1190,75030,64720,43940,90580
1,36,New York State,25-0000,"Education, Training, and Library Occupations",646120,80220,65050,35860,102400
1,36,New York State,25-1011,"Business Teachers, Postsecondary",8720,125070,105190,56760,159230
1,36,New York State,25-1021,"Computer Science Teachers, Postsecondary",3490,113430,102910,58480,140900
1,36,New York State,25-1022,"Mathematical Science Teachers, Postsecondary",3690,112570,102110,58730,139490
1,36,New York State,25-1031,"Architecture Teachers, Postsecondary",1070,146100,135580,94010,172150
1,36,New York State,25-1032,"Engineering Teachers, Postsecondary",3270,130100,109340,78350,155980
1,36,New York State,25-1042,"Biological Science Teachers, Postsecondary",4090,121700,104750,62920,151100
1,36,New York State,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",,74160,63630,56670,82900
1,36,New York State,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",2360,118700,105510,63640,146230
1,36,New York State,25-1052,"Chemistry Teachers, Postsecondary",1850,112750,102240,62590,137830
1,36,New York State,25-1053,"Environmental Science Teachers, Postsecondary",430,108850,85740,55920,135320
1,36,New York State,25-1054,"Physics Teachers, Postsecondary",1210,119950,105230,65840,147010
1,36,New York State,25-1061,"Anthropology and Archeology Teachers, Postsecondary",650,123230,105510,71160,149270
1,36,New York State,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1690,115810,103260,64870,141280
1,36,New York State,25-1063,"Economics Teachers, Postsecondary",1610,140030,131820,77470,171320
1,36,New York State,25-1064,"Geography Teachers, Postsecondary",,99750,101670,66400,116430
1,36,New York State,25-1065,"Political Science Teachers, Postsecondary",1440,134360,107480,68600,167240
1,36,New York State,25-1066,"Psychology Teachers, Postsecondary",3660,108840,102010,55500,135510
1,36,New York State,25-1067,"Sociology Teachers, Postsecondary",1390,116930,103140,58150,146320
1,36,New York State,25-1069,"Social Sciences Teachers, Postsecondary, All Other",2590,112610,101670,57540,140140
1,36,New York State,25-1071,"Health Specialties Teachers, Postsecondary",20050,146770,129990,66590,186860
1,36,New York State,25-1072,"Nursing Instructors and Teachers, Postsecondary",5160,99630,100100,49550,124670
1,36,New York State,25-1081,"Education Teachers, Postsecondary",5270,107800,99740,49070,137160
1,36,New York State,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1110,97000,80710,47270,121860
1,36,New York State,25-1112,"Law Teachers, Postsecondary",2380,148250,131680,73060,185840
1,36,New York State,25-1113,"Social Work Teachers, Postsecondary",1980,106350,102240,61400,128820
1,36,New York State,25-1121,"Art, Drama, and Music Teachers, Postsecondary",11790,111560,99400,56090,139290
1,36,New York State,25-1122,"Communications Teachers, Postsecondary",3230,104260,82350,56890,127950
1,36,New York State,25-1123,"English Language and Literature Teachers, Postsecondary",6690,105760,101570,53890,131700
1,36,New York State,25-1124,"Foreign Language and Literature Teachers, Postsecondary",1530,101070,83280,53510,124850
1,36,New York State,25-1125,"History Teachers, Postsecondary",1860,104960,101850,56300,129280
1,36,New York State,25-1126,"Philosophy and Religion Teachers, Postsecondary",2340,99530,81750,51050,123770
1,36,New York State,25-1192,"Home Economics Teachers, Postsecondary",,66260,66040,56230,71280
1,36,New York State,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",770,90060,81070,49720,110230
1,36,New York State,25-1194,"Vocational Education Teachers, Postsecondary",4050,79380,64370,44610,96770
1,36,New York State,25-1199,"Postsecondary Teachers, All Other",3300,104790,88510,54100,130130
1,36,New York State,25-2011,"Preschool Teachers, Except Special Education",19430,45800,38370,30350,53530
1,36,New York State,25-2012,"Kindergarten Teachers, Except Special Education",6860,88920,80970,50840,107950
1,36,New York State,25-2021,"Elementary School Teachers, Except Special Education",91890,90960,81980,53790,109540
1,36,New York State,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",34720,98180,100350,62690,115920
1,36,New York State,25-2023,"Career/Technical  Education Teachers, Middle School",1450,92820,80970,61920,108270
1,36,New York State,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",74210,96260,101300,58770,115010
1,36,New York State,25-2032,"Career/Technical Education Teachers, Secondary School",5590,87930,81920,57240,103280
1,36,New York State,25-2051,"Special Education Teachers, Preschool",3880,103610,106470,56600,127110
1,36,New York State,25-2052,"Special Education Teachers, Kindergarten and Elementary School",18540,86370,80900,56300,101400
1,36,New York State,25-2057,"Special Education Teachers, Middle School",7310,101080,102210,68340,117450
1,36,New York State,25-2058,"Special Education Teachers, Secondary School",17050,91030,82050,58100,107490
1,36,New York State,25-2059,"Special Education Teachers, All Other",2060,105080,112710,55710,129760
1,36,New York State,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,3070,74140,66040,46760,87820
1,36,New York State,25-3021,Self-Enrichment Education Teachers,27010,72240,52230,36500,90110
1,36,New York State,25-3031,"Substitute Teachers, Short-Term",34860,41200,38360,29800,46900
1,36,New York State,25-3041,Tutors,13490,64340,38850,30330,81340
1,36,New York State,25-3099,"Teachers and Instructors, All Other",2990,81110,77030,41210,101070
1,36,New York State,25-4011,Archivists,770,75450,64360,45520,90420
1,36,New York State,25-4012,Curators,1510,94500,79750,51160,116170
1,36,New York State,25-4013,Museum Technicians and Conservators,1060,74740,63810,41550,91330
1,36,New York State,25-4022,Librarians and Media Collections Specialists,11400,79230,79310,52780,92450
1,36,New York State,25-4031,Library Technicians,4400,46980,47120,31090,54930
1,36,New York State,25-9021,Farm and Home Management Advisors,,63740,63150,42860,74170
1,36,New York State,25-9031,Instructional Coordinators,21260,81580,80240,48870,97930
1,36,New York State,25-9044,"Teaching Assistants, Postsecondary",15070,51330,48610,34180,59910
1,36,New York State,25-9045,"Teaching Assistants, Except Postsecondary",109780,35730,30630,28390,39400
1,36,New York State,25-9099,"Education, Training, and Library Workers, All Other",980,63860,61930,39280,76150
1,36,New York State,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",193900,92700,80510,44630,116730
1,36,New York State,27-1011,Art Directors,8220,150710,137770,88330,181900
1,36,New York State,27-1012,Craft Artists,,50330,49240,31480,59750
1,36,New York State,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",3510,101390,102110,42400,130890
1,36,New York State,27-1014,Multimedia Artists and Animators,1000,102590,103460,56340,125720
1,36,New York State,27-1019,"Artists and Related Workers, All Other",,92310,75890,42650,117140
1,36,New York State,27-1021,Commercial and Industrial Designers,1920,84620,81350,50260,101810
1,36,New York State,27-1022,Fashion Designers,7680,95180,83670,54970,115290
1,36,New York State,27-1023,Floral Designers,1440,37410,37360,29900,41170
1,36,New York State,27-1024,Graphic Designers,17890,76600,65770,44770,92520
1,36,New York State,27-1025,Interior Designers,6250,75020,65440,40730,92160
1,36,New York State,27-1026,Merchandise Displayers and Window Trimmers,7350,43060,38690,30840,49180
1,36,New York State,27-1027,Set and Exhibit Designers,1320,87540,83410,38410,112100
1,36,New York State,27-1029,"Designers, All Other",1110,95520,83480,52510,117020
1,36,New York State,27-2012,Producers and Directors,27510,115860,102810,54830,146380
1,36,New York State,27-2021,Athletes and Sports Competitors,,114450,80510,49630,146860
1,36,New York State,27-2022,Coaches and Scouts,12310,60590,50300,33740,74020
1,36,New York State,27-2041,Music Directors and Composers,1650,107420,66140,40220,141020
1,36,New York State,27-3023,"News Analysts, Reporters, and Journalist",5120,98820,80910,46380,125040
1,36,New York State,27-3031,Public Relations Specialists,25460,87470,80710,50750,105840
1,36,New York State,27-3041,Editors,18550,106050,85290,56490,130830
1,36,New York State,27-3042,Technical Writers,2160,88690,83930,56780,104650
1,36,New York State,27-3043,Writers and Authors,6210,105790,83930,57310,130030
1,36,New York State,27-3091,Interpreters and Translators,2850,85540,81340,52200,102210
1,36,New York State,27-3092,Court Reporters and Simultaneous Captioners,1210,106350,105970,70170,124440
1,36,New York State,27-3099,"Media and Communication Workers, All Other",1060,88930,65410,41130,112820
1,36,New York State,27-4011,Audio and Video Equipment Technicians,4910,66210,62090,40860,78890
1,36,New York State,27-4012,Broadcast Technicians,3290,75960,65180,41900,92990
1,36,New York State,27-4014,Sound Engineering Technicians,1120,95360,83440,42180,121950
1,36,New York State,27-4015,Lighting Technicians,,88180,83000,49760,107400
1,36,New York State,27-4021,Photographers,3100,64780,58260,36510,78910
1,36,New York State,27-4031,"Camera Operators, Television, Video, and Motion Picture",1540,96370,83330,42450,123330
1,36,New York State,27-4032,Film and Video Editors,4590,109960,101720,60370,134760
1,36,New York State,27-4099,"Media and Communication Equipment Workers, All Other",,79260,79740,41560,98110
1,36,New York State,29-0000,Healthcare Practitioners and Technical Occupations,541760,105780,83290,52670,132330
1,36,New York State,29-1011,Chiropractors,1370,100010,80090,65140,117450
1,36,New York State,29-1021,"Dentists, General",6170,182320,168010,92700,227130
1,36,New York State,29-1022,Oral and Maxillofacial Surgeons,,318870,,188460,
1,36,New York State,29-1023,Orthodontists,,318580,,121850,
1,36,New York State,29-1029,"Dentists, All Other Specialists",,178590,175820,67880,233940
1,36,New York State,29-1031,Dietitians and Nutritionists,4910,75030,77650,55440,84830
1,36,New York State,29-1041,Optometrists,2240,142720,133250,109040,159560
1,36,New York State,29-1051,Pharmacists,18810,132850,133640,102110,148220
1,36,New York State,29-1071,Physician Assistants,13730,135710,133360,104550,151290
1,36,New York State,29-1081,Podiatrists,990,176970,167580,84060,223430
1,36,New York State,29-1122,Occupational Therapists,9030,99120,88960,65440,115960
1,36,New York State,29-1123,Physical Therapists,16030,95210,98990,70710,107470
1,36,New York State,29-1124,Radiation Therapists,1130,130700,111080,82350,154870
1,36,New York State,29-1125,Recreational Therapists,1540,61640,61900,44740,70090
1,36,New York State,29-1126,Respiratory Therapists,6570,86650,81360,66260,96850
1,36,New York State,29-1127,Speech-Language Pathologists,13220,102400,101840,66720,120240
1,36,New York State,29-1128,Exercise Physiologists,,68960,63310,49970,78450
1,36,New York State,29-1129,"Therapists, All Other",870,73540,63470,44820,87900
1,36,New York State,29-1131,Veterinarians,3710,133190,128500,78570,160500
1,36,New York State,29-1141,Registered Nurses,188420,96550,99550,68440,110610
1,36,New York State,29-1151,Nurse Anesthetists,2110,232570,,177840,
1,36,New York State,29-1161,Nurse Midwives,480,129460,131680,105420,141490
1,36,New York State,29-1171,Nurse Practitioners,14960,137280,132400,102490,154680
1,36,New York State,29-1181,Audiologists,650,93080,96070,66440,106400
1,36,New York State,29-1211,Anesthesiologists,2900,317620,,144390,
1,36,New York State,29-1212,Cardiologists,1610,306050,,115720,
1,36,New York State,29-1213,Dermatologists,,337240,,177360,
1,36,New York State,29-1214,Emergency Medicine Physicians,3650,283200,,87750,
1,36,New York State,29-1215,Family Medicine Physicians,3440,226410,202820,101180,289020
1,36,New York State,29-1216,General Internal Medicine Physicians,10120,183340,133110,74920,237550
1,36,New York State,29-1217,Neurologists,1000,244200,,86670,322960
1,36,New York State,29-1218,Obstetricians and Gynecologists,2450,280340,,101170,
1,36,New York State,29-1221,"Pediatricians, General",4230,184550,175820,85470,234090
1,36,New York State,29-1222,"Physicians, Pathologists",880,254380,,84240,339450
1,36,New York State,29-1223,Psychiatrists,4060,206390,201860,78450,270360
1,36,New York State,29-1224,Radiologists,1990,233440,171230,79740,310290
1,36,New York State,29-1229,"Physicians, All Other",13720,220210,205510,72740,293950
1,36,New York State,29-1241,"Ophthalmologists, Except Pediatric",,255670,,179960,
1,36,New York State,29-1242,"Orthopedic Surgeons, Except Pediatric",1590,304580,,107220,
1,36,New York State,29-1243,Pediatric Surgeons,,295420,,155160,
